title,price,drivetrain,exterior_color,model,year,trim,fuel_consume(L/100km),region,province,battery_charge_time(hr),battery_range(km),body_type,mileage(km),front_legroom(mm),cargo_volume(L)
2022 Tesla Model 3 RWD,34999,Rear-Wheel Drive,Black,Model 3,2022.0,RWD,1.9,Truro,NS,10.0,430.0,Sedan,51060,1085.0,648.0
2017 Tesla Model X 100D AWD,49980,All-Wheel Drive,White(/Pearl White Multi-Coat),Model X,2017.0,100D AWD,2.655,North Vancouver,BC,12.0,475.0,SUV/ Crossover,136200,1046.0,736.0
2020 Tesla Model 3,31690,unknown,White(/Pearl White Multi-Coat),Model 3,2020.0,unknown,1.9,Richmond,BC,10.0,430.0,Sedan,41722,1085.0,424.0
2019 Tesla Model 3 Standard Plus RWD,26888,Rear-Wheel Drive,Black,Model 3,2019.0,Standard Plus RWD,1.9,North York,ON,10.0,386.0,Sedan,42000,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,39990,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,Long Range AWD,1.9,Calgary,AB,10.0,538.0,Sedan,50870,1085.0,648.0
2023 Tesla Model 3 Long Range AWD,41995,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,Long Range AWD,1.9,Etobicoke,ON,11.5,576.0,Sedan,27000,1085.0,648.0
2015 Tesla Model S 85D AWD,23995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2015.0,85D AWD,2.365,Toronto,ON,12.0,435.0,Sedan,130000,1085.0,894.0
2020 Tesla Model 3 Long Range AWD,32800,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,48000,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,29555,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Richmond,BC,10.0,402.0,Sedan,69838,1085.0,424.0
2023 Tesla Model 3 Long Range AWD,42880,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2023.0,Long Range AWD,1.9,Concord,ON,11.5,576.0,Sedan,26000,1085.0,424.0
2023 Tesla Model Y RWD,40900,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2023.0,RWD,1.945,Concord,ON,9.4,418.0,SUV/ Crossover,24900,1064.0,971.0
2016 Tesla Model X 90D AWD,37895,All-Wheel Drive,Blue(/Deep Blue Metallic),Model X,2016.0,90D AWD,2.555,Milton,ON,12.0,414.0,SUV/ Crossover,129710,1046.0,736.0
2019 Tesla Model 3 Long Range RWD,25729,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Long Range RWD,1.9,Drummondville,QC,10.0,499.0,Sedan,98700,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,34900,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Coquitlam,BC,10.0,430.0,Sedan,23317,1085.0,424.0
